Data;Regressor;Best parameters;MSE;MAE;MAPE;PCC
dipep_freq+residue_repeats+aromaticity+helix+turn+sheet;KNN;"{'metric': 'euclidean', 'n_neighbors': 22, 'weights': 'distance'}";2837.2278864926348;31.08686591800585;3887542.668427972;(0.6654168959260035, 1.2434423239407672e-19)
dipep_freq+residue_repeats+aromaticity+helix+turn+gravy;KNN;"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}";6173.558670255935;36.12233249160839;227553.1205647785;(0.5083737563359034, 9.061716458601164e-11)
dipep_freq+residue_repeats+aromaticity+helix+turn+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}";3085.4787960579956;28.278429786596966;18408281.315128762;(0.6363824420835839, 1.3268704036014288e-17)
dipep_freq+residue_repeats+aromaticity+helix+sheet+gravy;KNN;"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}";6224.159890983208;36.70276605804195;227967.41001805253;(0.5029901618690515, 1.5331645504820694e-10)
dipep_freq+residue_repeats+aromaticity+helix+sheet+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}";3159.4549425669857;28.94559556105872;18405423.751416195;(0.6286019197982675, 4.2687572234002515e-17)
dipep_freq+residue_repeats+aromaticity+helix+gravy+net_charge_at_pH7point4;KNN;"{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}";4240.8927328043455;32.86371570839161;213965.34257094114;(0.5210587295604638, 2.5296591732827334e-11)
dipep_freq+residue_repeats+aromaticity+turn+sheet+gravy;KNN;"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}";6224.335555318872;36.722346477622374;227967.7024528904;(0.502878314651575, 1.5498561412918983e-10)
dipep_freq+residue_repeats+aromaticity+turn+sheet+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}";3103.536324472826;28.57693283497471;18540078.584307984;(0.6337896532298134, 1.9657948459275477e-17)
dipep_freq+residue_repeats+aromaticity+turn+gravy+net_charge_at_pH7point4;KNN;"{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}";4239.626184727423;32.84920521888111;213965.3280604516;(0.521219939462909, 2.4881199826853656e-11)
dipep_freq+residue_repeats+aromaticity+sheet+gravy+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'uniform'}";4046.7665447788067;31.04819822587412;26575774.67669283;(0.5306024118099596, 9.349407163272944e-12)
dipep_freq+residue_repeats+helix+turn+sheet+gravy;KNN;"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}";6173.561121053138;36.126472351748255;227967.1065787645;(0.5083580455049697, 9.075754731107624e-11)
dipep_freq+residue_repeats+helix+turn+sheet+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}";2968.084821847192;28.20715479747065;18582091.250362452;(0.6463720735619078, 2.8164249669326064e-18)
dipep_freq+residue_repeats+helix+turn+gravy+net_charge_at_pH7point4;KNN;"{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}";4240.8927328043455;32.86371570839161;213965.34257094114;(0.5210587295604638, 2.5296591732827334e-11)
dipep_freq+residue_repeats+helix+sheet+gravy+net_charge_at_pH7point4;KNN;"{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}";4239.626184727423;32.84920521888111;213965.3280604516;(0.521219939462909, 2.4881199826853656e-11)
dipep_freq+residue_repeats+turn+sheet+gravy+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'uniform'}";3796.371949627916;30.265279694405592;26575757.25565649;(0.5485442392494819, 1.3199010239823233e-12)
dipep_freq+aromaticity+helix+turn+sheet+gravy;KNN;"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}";5368.973042996579;34.52776333076923;378799.4433620571;(0.4121740944993671, 3.139611461920668e-07)
dipep_freq+aromaticity+helix+turn+sheet+net_charge_at_pH7point4;KNN;"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}";4912.508281749108;35.245544379720286;1138148.7284277172;(0.4686213686609955, 3.5782443649851787e-09)
dipep_freq+aromaticity+helix+turn+gravy+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}";5808.099607113417;37.947157596503494;379227.40313833405;(0.40907414081006405, 3.9235244834912213e-07)
dipep_freq+aromaticity+helix+sheet+gravy+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'uniform'}";3877.2337422681576;33.3253300090909;758583.670009275;(0.5687463172706834, 1.260765239100588e-13)
dipep_freq+aromaticity+turn+sheet+gravy+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'uniform'}";3590.1301340408845;32.111169169930065;758626.917972733;(0.6049549214907436, 1.225867781110635e-15)
