Data;Regressor;Best_parameters;MSE;MAE;MAPE
avg_protvec+aromaticity;KNN;"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}";6.412639611343346;1.7263174344257233;14.478809350726657
avg_protvec+helix;KNN;"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}";6.237823765644776;1.6872274662011466;14.214433034119251
avg_protvec+turn;KNN;"{'metric': 'euclidean', 'n_neighbors': 4, 'weights': 'distance'}";6.224593353992209;1.8177810045002707;15.5256718240461
avg_protvec+sheet;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";6.2095512350970905;1.7502270791673422;14.958683315429813
avg_protvec+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'distance'}";6.5243274148544925;1.8362026079106197;15.810722513728445
avg_protvec+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'distance'}";7.013048769605702;1.911507941651838;16.2798452055657
shannon_entropy+residue_repeats;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";5.322956617540909;1.6208179743858582;13.563739620830606
shannon_entropy+aromaticity;KNN;"{'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'distance'}";5.509279163421529;1.6461478661388655;13.95825473748775
shannon_entropy+helix;KNN;"{'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'distance'}";5.656328179051926;1.6383323437592257;13.88842472989174
shannon_entropy+turn;KNN;"{'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'distance'}";5.868723735236745;1.6504709813479639;13.882783908834636
shannon_entropy+sheet;KNN;"{'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'distance'}";5.8405267414416775;1.6612429885119917;13.973405515120078
shannon_entropy+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'distance'}";5.269832322182219;1.645758786236903;13.917353854976271
shannon_entropy+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'distance'}";6.415260357583632;1.7919960523449698;14.97347002111902
residue_repeats+aromaticity;KNN;"{'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'distance'}";5.49460694419765;1.636021515959692;13.665457604447564
residue_repeats+helix;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";5.878361770147059;1.6651055726209212;13.741013429819931
residue_repeats+turn;KNN;"{'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'distance'}";5.828329571812295;1.6788995369820687;13.988413221754437
residue_repeats+sheet;KNN;"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}";5.739792052312607;1.6510203764151208;13.758980901218393
residue_repeats+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}";5.387379035098619;1.7152924168872445;14.340036066934042
residue_repeats+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'distance'}";5.431663693554063;1.6951314161637954;13.981064303734314
aromaticity+helix;KNN;"{'metric': 'euclidean', 'n_neighbors': 21, 'weights': 'distance'}";9.90285189279025;2.181139093917419;17.776685269744945
aromaticity+turn;KNN;"{'metric': 'manhattan', 'n_neighbors': 22, 'weights': 'distance'}";8.487574556551841;2.0107122475311843;16.43262472946864
aromaticity+sheet;KNN;"{'metric': 'manhattan', 'n_neighbors': 22, 'weights': 'distance'}";7.543191569567029;2.0093946697754568;16.47369177035613
aromaticity+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 22, 'weights': 'distance'}";9.117002870251886;2.330639504752232;19.20625322161565
aromaticity+net_charge_at_pH7point4;KNN;"{'metric': 'chebyshev', 'n_neighbors': 10, 'weights': 'distance'}";8.176259434741334;2.061436351108474;16.997870614598067
helix+turn;KNN;"{'metric': 'manhattan', 'n_neighbors': 22, 'weights': 'distance'}";9.730617635786668;2.1980356979627715;17.88044384797907
helix+sheet;KNN;"{'metric': 'manhattan', 'n_neighbors': 22, 'weights': 'distance'}";9.628515776309868;2.197555700531382;17.783759706683508
helix+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 22, 'weights': 'distance'}";10.466512362254104;2.5206662410943643;20.85061617432396
helix+net_charge_at_pH7point4;KNN;"{'metric': 'chebyshev', 'n_neighbors': 12, 'weights': 'distance'}";9.538016603977281;2.2616274717985325;18.833505545115795
turn+sheet;KNN;"{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'uniform'}";9.764951720668982;2.424756186113002;20.29201921476692
turn+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 22, 'weights': 'distance'}";9.662203911240935;2.4540806256496084;20.59425821342343
turn+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 16, 'weights': 'distance'}";8.67732153794768;2.1850530705790128;18.27378111149982
sheet+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 22, 'weights': 'distance'}";9.307481813252164;2.3960879285807994;19.89700212814211
sheet+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 22, 'weights': 'distance'}";8.537334293038489;2.16060391846303;18.23820900118066
