Data;Best_params;MSE;MAE;MAPE;PCC
dipep_freq+residue_repeats+cetd+helix+turn+sheet+net_charge_at_pH7point4;{'metric': 'chebyshev', 'n_neighbors': 10, 'weights': 'distance'};5077.6640310532875;46.82632358071204;292.58696917982684;(0.323292381435795, 0.07605760065812235)
dipep_freq+residue_repeats+cetd+helix+turn+gravy+net_charge_at_pH7point4;{'metric': 'chebyshev', 'n_neighbors': 10, 'weights': 'distance'};5077.6640310532875;46.82632358071204;292.58696917982684;(0.323292381435795, 0.07605760065812235)
dipep_freq+residue_repeats+cetd+helix+sheet+gravy+net_charge_at_pH7point4;{'metric': 'chebyshev', 'n_neighbors': 10, 'weights': 'distance'};5077.6640310532875;46.82632358071204;292.58696917982684;(0.323292381435795, 0.07605760065812235)
dipep_freq+residue_repeats+cetd+turn+sheet+gravy+net_charge_at_pH7point4;{'metric': 'chebyshev', 'n_neighbors': 10, 'weights': 'distance'};5077.6640310532875;46.82632358071204;292.58696917982684;(0.323292381435795, 0.07605760065812235)
dipep_freq+residue_repeats+net_contact_energy+aromaticity+helix+turn+sheet;{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'};5451.728227332152;45.68775736547119;217.5031809087394;(0.2658785987748256, 0.1482654185048037)
dipep_freq+residue_repeats+net_contact_energy+aromaticity+helix+turn+gravy;{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'};5286.1176110036895;44.53325878496728;255.50393468601692;(0.23619739852514277, 0.20081249760039319)
dipep_freq+residue_repeats+net_contact_energy+aromaticity+helix+turn+net_charge_at_pH7point4;{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'};5428.927022222158;45.63314030126786;196.5902417163999;(0.29045526746707656, 0.11293913655860466)
dipep_freq+residue_repeats+net_contact_energy+aromaticity+helix+sheet+gravy;{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'};5286.1176110036895;44.53325878496728;255.50393468601692;(0.23619739852514277, 0.20081249760039319)
dipep_freq+residue_repeats+net_contact_energy+aromaticity+helix+sheet+net_charge_at_pH7point4;{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'};5312.247298382399;45.04735296509392;196.47108217124477;(0.3193069427373151, 0.07995755950008603)
dipep_freq+residue_repeats+net_contact_energy+aromaticity+helix+gravy+net_charge_at_pH7point4;{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'uniform'};5053.106168643695;44.90185710834712;198.1259496198876;(0.33147379642472874, 0.06851341374648873)
dipep_freq+residue_repeats+net_contact_energy+aromaticity+turn+sheet+gravy;{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'};5281.527481601421;44.31672826266446;254.15061892162436;(0.241471651063678, 0.19064506415667773)
dipep_freq+residue_repeats+net_contact_energy+aromaticity+turn+sheet+net_charge_at_pH7point4;{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'};5404.999996693232;45.43662597997218;196.5671433856769;(0.29307190609517664, 0.10958545444250414)
dipep_freq+residue_repeats+net_contact_energy+aromaticity+turn+gravy+net_charge_at_pH7point4;{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'};5052.381733550943;42.44979191232142;158.71763928613873;(0.4001648621890642, 0.025707583241023547)
dipep_freq+residue_repeats+net_contact_energy+aromaticity+sheet+gravy+net_charge_at_pH7point4;{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'uniform'};5241.87101506498;45.80129584935331;191.80800010996342;(0.2904525871510649, 0.1129426106704155)
dipep_freq+residue_repeats+net_contact_energy+helix+turn+sheet+gravy;{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'};5286.1176110036895;44.53325878496728;255.50393468601692;(0.23619739852514277, 0.20081249760039319)
dipep_freq+residue_repeats+net_contact_energy+helix+turn+sheet+net_charge_at_pH7point4;{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'};5300.337362814173;44.971905906324366;196.5840515819835;(0.3221637993471045, 0.07714674264325576)
dipep_freq+residue_repeats+net_contact_energy+helix+turn+gravy+net_charge_at_pH7point4;{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'uniform'};5052.938251961392;44.85521549702;197.69448235506684;(0.3325292410292061, 0.06758420081733764)
dipep_freq+residue_repeats+net_contact_energy+helix+sheet+gravy+net_charge_at_pH7point4;{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'uniform'};5022.505156733902;44.49909744029888;190.48382885239064;(0.3360165950387206, 0.06458359906458266)
dipep_freq+residue_repeats+net_contact_energy+turn+sheet+gravy+net_charge_at_pH7point4;{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'};5025.909881226969;42.39399919597574;162.89541167793334;(0.40668653267108157, 0.023181898909408978)
dipep_freq+residue_repeats+aromaticity+helix+turn+sheet+gravy;{'metric': 'manhattan', 'n_neighbors': 8, 'weights': 'distance'};5324.6195171093605;44.64376250929499;182.62994245355182;(0.41364754755711447, 0.020714846069388806)
dipep_freq+residue_repeats+aromaticity+helix+turn+sheet+net_charge_at_pH7point4;{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'};5486.993986287949;44.93111475462034;161.3126569210215;(0.3055256872562684, 0.09463741544829668)
dipep_freq+residue_repeats+aromaticity+helix+turn+gravy+net_charge_at_pH7point4;{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'};4808.436431636022;42.53771317212975;156.65761776293647;(0.5096914379945303, 0.0034019067552182123)
dipep_freq+residue_repeats+aromaticity+helix+sheet+gravy+net_charge_at_pH7point4;{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'};4963.641001135091;43.96313422076086;182.89903938777113;(0.4509746561309612, 0.01088901860132949)
dipep_freq+residue_repeats+aromaticity+turn+sheet+gravy+net_charge_at_pH7point4;{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'};4750.662907993753;42.33490555539723;160.295720232005;(0.5373451970800835, 0.0018259559779574318)
dipep_freq+residue_repeats+helix+turn+sheet+gravy+net_charge_at_pH7point4;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};4438.769327650101;42.89608475645573;174.66787506680348;(0.5766903574747333, 0.0006841638479875379)
dipep_freq+paac+cetd+net_contact_energy+aromaticity+helix+turn;{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'};4981.307049622439;44.67926859328701;275.9937740135055;(0.33656893681246935, 0.06411805647557255)
dipep_freq+paac+cetd+net_contact_energy+aromaticity+helix+sheet;{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'};4981.344070404778;44.67953469595356;275.99325171909516;(0.3365626835367324, 0.06412331233952698)
dipep_freq+paac+cetd+net_contact_energy+aromaticity+helix+gravy;{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'};4930.37682205601;45.092482191924134;280.67938177828427;(0.333372436006357, 0.06684893160617988)
dipep_freq+paac+cetd+net_contact_energy+aromaticity+helix+net_charge_at_pH7point4;{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'};4822.351467788906;44.296818307572444;293.33164833836685;(0.3573434153896589, 0.04843253326154063)
dipep_freq+paac+cetd+net_contact_energy+aromaticity+turn+sheet;{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'};4981.265003466815;44.679155105064794;275.9928115884253;(0.33657618924304256, 0.06411196124609919)
dipep_freq+paac+cetd+net_contact_energy+aromaticity+turn+gravy;{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'};4930.310699361827;45.09226262198652;280.6799395259632;(0.3333813977350656, 0.06684115057849391)
dipep_freq+paac+cetd+net_contact_energy+aromaticity+turn+net_charge_at_pH7point4;{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'};4822.266666129977;44.296401836774095;293.3312626861526;(0.35735813480375966, 0.048422618585408764)
dipep_freq+paac+cetd+net_contact_energy+aromaticity+sheet+gravy;{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'};4930.340392128722;45.09252929146994;280.6794573460029;(0.3333768245443187, 0.06684512116656585)
dipep_freq+paac+cetd+net_contact_energy+aromaticity+sheet+net_charge_at_pH7point4;{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'};4822.30631597935;44.29666616216059;293.3304246326117;(0.3573508497284491, 0.04842752545140726)
dipep_freq+paac+cetd+net_contact_energy+aromaticity+gravy+net_charge_at_pH7point4;{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'};4821.932985352913;44.295304966308194;293.333285498179;(0.3574104176375943, 0.04838741505717194)
dipep_freq+paac+cetd+net_contact_energy+helix+turn+sheet;{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'};4981.256583411005;44.6790462963372;275.9913045688381;(0.3365780749434317, 0.06411037650312554)
dipep_freq+paac+cetd+net_contact_energy+helix+turn+gravy;{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'};4930.300712806836;45.09214980373614;280.6783927871962;(0.3333836294565482, 0.066839212994459)
dipep_freq+paac+cetd+net_contact_energy+helix+turn+net_charge_at_pH7point4;{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'};4822.245383124677;44.29623388470439;293.3296655185675;(0.35736231129219165, 0.04841980568791957)
dipep_freq+paac+cetd+net_contact_energy+helix+sheet+gravy;{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'};4930.330427355411;45.09241658278433;280.67791056011646;(0.33337905167126014, 0.06684318748192343)
dipep_freq+paac+cetd+net_contact_energy+helix+sheet+net_charge_at_pH7point4;{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'};4822.285054567102;44.296498314415025;293.32882742735575;(0.3573550214692791, 0.048424715524972003)
dipep_freq+paac+cetd+net_contact_energy+helix+gravy+net_charge_at_pH7point4;{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'};4821.911725927004;44.29513735586193;293.33169151474317;(0.35741458485355604, 0.04838461002744032)
dipep_freq+paac+cetd+net_contact_energy+turn+sheet+gravy;{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'};4930.264281365313;45.09219692637531;280.6784687359871;(0.33338801598839285, 0.06683540472836447)
dipep_freq+paac+cetd+net_contact_energy+turn+sheet+net_charge_at_pH7point4;{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'};4822.200224710009;44.296081741652046;293.3284421515419;(0.35736974405434596, 0.04841479998612892)
dipep_freq+paac+cetd+net_contact_energy+turn+gravy+net_charge_at_pH7point4;{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'};4821.826912604315;44.29472082762541;293.3313064550265;(0.3574293056152613, 0.048374702247163795)
dipep_freq+paac+cetd+net_contact_energy+sheet+gravy+net_charge_at_pH7point4;{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'};4821.866099907097;44.294983523586126;293.33047391084835;(0.35742209999908564, 0.048379551771617)
dipep_freq+paac+cetd+aromaticity+helix+turn+sheet;{'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'distance'};4586.796726373885;43.57231244943818;214.72809025582004;(0.4940602810105894, 0.0047298700316792675)
dipep_freq+paac+cetd+aromaticity+helix+turn+gravy;{'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'distance'};4596.502150424316;43.873637066961415;215.18040188718453;(0.5017571526711401, 0.004029049015223534)
dipep_freq+paac+cetd+aromaticity+helix+turn+net_charge_at_pH7point4;{'metric': 'chebyshev', 'n_neighbors': 10, 'weights': 'distance'};4988.7295283085605;46.1892294624419;277.292688544232;(0.37018375327727654, 0.04037761558317086)
dipep_freq+paac+cetd+aromaticity+helix+sheet+gravy;{'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'distance'};4596.467312967923;43.873441128362856;215.17962228443977;(0.5017683272895638, 0.004028100301447044)
dipep_freq+paac+cetd+aromaticity+helix+sheet+net_charge_at_pH7point4;{'metric': 'chebyshev', 'n_neighbors': 10, 'weights': 'distance'};4988.7295283085605;46.1892294624419;277.292688544232;(0.37018375327727654, 0.04037761558317086)
