Data;Regressor;Best parameters;MSE;MAE;MAPE;PCC
aa_freq+dipep_freq+avg_protvec+shannon_entropy+turn;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}";3185.6072928472636;27.426983155704487;1525340.9889816558;(0.6264581674218102, 5.85634923272889e-17)
aa_freq+dipep_freq+avg_protvec+shannon_entropy+sheet;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}";3196.911108744062;27.77320214071972;1525810.006339978;(0.6205797807562089, 1.376568931235801e-16)
aa_freq+dipep_freq+avg_protvec+shannon_entropy+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}";3122.958469596103;27.018797906673733;121373.0605845805;(0.633908169315244, 1.9309465327056466e-17)
aa_freq+dipep_freq+avg_protvec+shannon_entropy+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";3435.8147833702187;29.151549296952876;1134017.9334412096;(0.5889179295234164, 1.0246501590527279e-14)
aa_freq+dipep_freq+avg_protvec+residue_repeats+aromaticity;KNN;"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}";2963.5627548132074;28.906883660490095;194580.88827321486;(0.6732080014355192, 3.2450781526524766e-20)
aa_freq+dipep_freq+avg_protvec+residue_repeats+helix;KNN;"{'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'distance'}";2841.783196738432;28.64694391726761;952936.3625470105;(0.699306902474947, 2.634157681139667e-22)
aa_freq+dipep_freq+avg_protvec+residue_repeats+turn;KNN;"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}";2941.2524062773396;28.895906254531162;1679546.2736499172;(0.6757313756915795, 2.0818583451849056e-20)
aa_freq+dipep_freq+avg_protvec+residue_repeats+sheet;KNN;"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}";2937.8309151557255;28.765619309959092;1754551.0789603337;(0.6784794186079883, 1.2774114782184592e-20)
aa_freq+dipep_freq+avg_protvec+residue_repeats+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}";3269.4662842926546;27.505552529964923;266681.1293390158;(0.6095395420362817, 6.534495385772249e-16)
aa_freq+dipep_freq+avg_protvec+residue_repeats+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}";2888.649679014349;28.712778071126774;530983.8959185516;(0.7113537660958782, 2.3867641897633354e-23)
aa_freq+dipep_freq+avg_protvec+aromaticity+helix;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}";3100.278647927987;26.998578503271233;168276.17992877663;(0.6401828458994938, 7.407346117728897e-18)
aa_freq+dipep_freq+avg_protvec+aromaticity+turn;KNN;"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}";2951.502433144599;28.37044653487147;257836.6685528527;(0.682096334520258, 6.662109978468573e-21)
aa_freq+dipep_freq+avg_protvec+aromaticity+sheet;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";3181.58205767531;28.88160183906244;90665.6630699793;(0.6405093368803285, 7.042841906353319e-18)
aa_freq+dipep_freq+avg_protvec+aromaticity+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}";3073.7976168678665;26.90875143948123;299818.83820013737;(0.6432497106272292, 4.600076257954372e-18)
aa_freq+dipep_freq+avg_protvec+aromaticity+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}";3651.0436850847577;29.656879297381277;207575.71682862373;(0.5898032274640175, 9.140998294832098e-15)
aa_freq+dipep_freq+avg_protvec+helix+turn;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";2944.614173164898;27.778724530975932;276640.0134415999;(0.675574652812391, 2.1403245728143e-20)
aa_freq+dipep_freq+avg_protvec+helix+sheet;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";3041.5364191776616;28.501542060281615;191272.6584687847;(0.6597484879781879, 3.222637077577062e-19)
aa_freq+dipep_freq+avg_protvec+helix+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";2978.470322145766;27.885058755711075;249481.31877269826;(0.667583951418817, 8.592465746239049e-20)
aa_freq+dipep_freq+avg_protvec+helix+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'distance'}";3708.8682263189694;30.108107721265657;345461.4545130243;(0.5697488086587665, 1.1173857916381344e-13)
aa_freq+dipep_freq+avg_protvec+turn+sheet;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";3170.2095665063807;28.61462739765326;550368.7014685917;(0.642721107179271, 4.9956626334395154e-18)
aa_freq+dipep_freq+avg_protvec+turn+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}";3125.298294517692;27.389426299510255;299802.4929736166;(0.6376823236325482, 1.0880105152864889e-17)
aa_freq+dipep_freq+avg_protvec+turn+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}";3588.6587145855783;29.645744954814976;163849.74497320777;(0.5730115410807415, 7.52188408545496e-14)
aa_freq+dipep_freq+avg_protvec+sheet+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";2957.9238401388106;27.631352487181925;249570.29262070567;(0.6709400795675173, 4.8180420155927077e-20)
aa_freq+dipep_freq+avg_protvec+sheet+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}";3538.90731450157;29.25456938714725;203893.00186807715;(0.6112691854125747, 5.140194382884386e-16)
aa_freq+dipep_freq+avg_protvec+gravy+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}";3613.9158775484348;28.873589538489668;100299.23628374272;(0.5806872358301443, 2.9134812092216624e-14)
aa_freq+dipep_freq+shannon_entropy+residue_repeats+aromaticity;KNN;"{'metric': 'manhattan', 'n_neighbors': 8, 'weights': 'distance'}";3298.2224668888643;29.903149869795797;144364.64127638453;(0.682382023895467, 6.325682458257717e-21)
aa_freq+dipep_freq+shannon_entropy+residue_repeats+helix;KNN;"{'metric': 'manhattan', 'n_neighbors': 8, 'weights': 'distance'}";3270.9182790542122;29.92477316077158;145304.64295351325;(0.687838533271806, 2.324463686534916e-21)
aa_freq+dipep_freq+shannon_entropy+residue_repeats+turn;KNN;"{'metric': 'manhattan', 'n_neighbors': 8, 'weights': 'distance'}";3311.035516801316;29.98741909874711;145421.46758808705;(0.6813526596461499, 7.622073272226115e-21)
aa_freq+dipep_freq+shannon_entropy+residue_repeats+sheet;KNN;"{'metric': 'manhattan', 'n_neighbors': 8, 'weights': 'distance'}";3332.8012090698076;30.013644416941357;207923.3410800154;(0.679057502024708, 1.1519024033894942e-20)
aa_freq+dipep_freq+shannon_entropy+residue_repeats+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}";3068.6127383051703;28.395291170571767;827587.0304321285;(0.6567278858110777, 5.308621058157867e-19)
aa_freq+dipep_freq+shannon_entropy+residue_repeats+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'distance'}";3403.6628773782572;29.834460025914492;534545.8880131262;(0.6220443066127359, 1.1144384513083316e-16)
aa_freq+dipep_freq+shannon_entropy+aromaticity+helix;KNN;"{'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'distance'}";2842.940062892844;28.051114536023157;986404.8227321084;(0.7021501536173107, 1.51086566389022e-22)
aa_freq+dipep_freq+shannon_entropy+aromaticity+turn;KNN;"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}";3270.1281906601025;28.088088044498317;1385504.788975673;(0.6125144387452042, 4.32058597607063e-16)
aa_freq+dipep_freq+shannon_entropy+aromaticity+sheet;KNN;"{'metric': 'manhattan', 'n_neighbors': 8, 'weights': 'distance'}";2979.732561210556;28.528675972703045;563888.4201614825;(0.7330686915721768, 2.2725691464366415e-25)
aa_freq+dipep_freq+shannon_entropy+aromaticity+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 8, 'weights': 'distance'}";2976.253287760583;28.526619458683097;262756.9047529858;(0.7163981969422305, 8.416415845850953e-24)
aa_freq+dipep_freq+shannon_entropy+aromaticity+net_charge_at_pH7point4;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";3545.988609409366;29.248135755546553;2513932.272277468;(0.5818356095902353, 2.522640229768163e-14)
aa_freq+dipep_freq+shannon_entropy+helix+turn;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";2938.626875353164;27.89259667841206;1003441.70752382;(0.6699376480098721, 5.731356364749356e-20)
aa_freq+dipep_freq+shannon_entropy+helix+sheet;KNN;"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}";2881.8709710392036;28.182753727369562;199771.10170253718;(0.7251210442854721, 1.314338844418995e-24)
aa_freq+dipep_freq+shannon_entropy+helix+gravy;KNN;"{'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}";3069.476180320305;28.613216304813932;1405314.9018273077;(0.6563453567337408, 5.652712085294741e-19)
