Data;Best_params;MSE;MAE;MAPE;PCC
aa_freq+avg_protvec+residue_repeats+aromaticity+turn+sheet;{'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'};2472.5495023745416;30.304628313286713;674676.2237982204;(0.7063209259705289, 6.605201202697994e-23)
aa_freq+avg_protvec+residue_repeats+aromaticity+turn+gravy;{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'};6172.3228576851925;36.084334659440565;227314.0715020495;(0.5084053164101936, 9.033579672204429e-11)
aa_freq+avg_protvec+residue_repeats+aromaticity+turn+net_charge_at_pH7point4;{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'};3420.829735365535;29.623838086013986;214039.43034363192;(0.5942550901648856, 5.121035084947789e-15)
aa_freq+avg_protvec+residue_repeats+aromaticity+sheet+gravy;{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'};6222.908414076802;36.65917382027972;227728.0812350438;(0.5030004366896759, 1.5316399252245076e-10)
aa_freq+avg_protvec+residue_repeats+aromaticity+sheet+net_charge_at_pH7point4;{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'};3404.003889736164;29.33750941468531;214038.50124106297;(0.5957062679476122, 4.231478513588118e-15)
aa_freq+avg_protvec+residue_repeats+aromaticity+gravy+net_charge_at_pH7point4;{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'};4420.817632393507;33.381684239860135;213966.81000452937;(0.5102023946314994, 7.563570729098117e-11)
aa_freq+avg_protvec+residue_repeats+helix+turn+sheet;{'metric': 'euclidean', 'n_neighbors': 22, 'weights': 'distance'};2787.576038691152;30.968349199826285;3906736.260223629;(0.6779529190907222, 1.4032950960236135e-20)
aa_freq+avg_protvec+residue_repeats+helix+turn+gravy;{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'};6172.963162195682;36.138943051048955;227554.97552556224;(0.5081798793853767, 9.236432438293524e-11)
aa_freq+avg_protvec+residue_repeats+helix+turn+net_charge_at_pH7point4;{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'};3420.135343757143;29.593068855244752;214037.529949722;(0.5944285902818452, 5.0057870959434194e-15)
aa_freq+avg_protvec+residue_repeats+helix+sheet+gravy;{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'};6172.767333657221;36.1109920020979;227737.85325389454;(0.5082807379861501, 9.145139112025039e-11)
aa_freq+avg_protvec+residue_repeats+helix+sheet+net_charge_at_pH7point4;{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'};3403.3482953305697;29.320026897202794;214038.28270959444;(0.5958242809714328, 4.1661509784313776e-15)
aa_freq+avg_protvec+residue_repeats+helix+gravy+net_charge_at_pH7point4;{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'};4381.478316834066;32.666334589510484;213965.94547072987;(0.5162989630253524, 4.108440077802899e-11)
aa_freq+avg_protvec+residue_repeats+turn+sheet+gravy;{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'};6223.74004725862;36.73895703706294;227969.5574136741;(0.5026793546970835, 1.579983173748795e-10)
aa_freq+avg_protvec+residue_repeats+turn+sheet+net_charge_at_pH7point4;{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'};3403.347316309591;29.318628295804192;214038.2427495545;(0.5958052572526841, 4.176614986800269e-15)
aa_freq+avg_protvec+residue_repeats+turn+gravy+net_charge_at_pH7point4;{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'};4381.478311531619;32.66632409999999;213965.42099520544;(0.5162990100537512, 4.1084205439545314e-11)
aa_freq+avg_protvec+residue_repeats+sheet+gravy+net_charge_at_pH7point4;{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'};4404.913184141759;33.04818773636364;213966.4765080259;(0.5131005096699514, 5.667411629928315e-11)
aa_freq+avg_protvec+paac+cetd+net_contact_energy+aromaticity;{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'};5989.946976831136;35.712257666433565;83542.09372011264;(0.32289697230435105, 8.37918197600078e-05)
aa_freq+avg_protvec+paac+cetd+net_contact_energy+helix;{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'};5989.946976831136;35.712257666433565;83542.09372011264;(0.32289697230435105, 8.37918197600078e-05)
aa_freq+avg_protvec+paac+cetd+net_contact_energy+turn;{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'};5989.946976831136;35.712257666433565;83542.09372011264;(0.32289697230435105, 8.37918197600078e-05)
aa_freq+avg_protvec+paac+cetd+net_contact_energy+sheet;{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'};5989.946976831136;35.712257666433565;83542.09372011264;(0.32289697230435105, 8.37918197600078e-05)
aa_freq+avg_protvec+paac+cetd+net_contact_energy+gravy;{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'};5989.946976831136;35.712257666433565;83542.09372011264;(0.32289697230435105, 8.37918197600078e-05)
aa_freq+avg_protvec+paac+cetd+net_contact_energy+net_charge_at_pH7point4;{'metric': 'chebyshev', 'n_neighbors': 1, 'weights': 'uniform'};5963.553228642325;35.23146745664335;83290.53813743441;(0.32618532196646793, 7.018082547817343e-05)
aa_freq+avg_protvec+paac+cetd+aromaticity+helix;{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'};4986.344454116746;31.14795696713287;83539017.23643209;(0.530056783107264, 9.905201965327378e-12)
aa_freq+avg_protvec+paac+cetd+aromaticity+turn;{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'};4986.344454116746;31.14795696713287;83539017.23643209;(0.530056783107264, 9.905201965327378e-12)
aa_freq+avg_protvec+paac+cetd+aromaticity+sheet;{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'};4986.3461703894745;31.15077514895105;83539019.27859282;(0.5300394072481612, 9.923417480839537e-12)
aa_freq+avg_protvec+paac+cetd+aromaticity+gravy;{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'};4897.674148375489;31.102579344755245;83539017.27779013;(0.5392134670371818, 3.7066608647541055e-12)
aa_freq+avg_protvec+paac+cetd+aromaticity+net_charge_at_pH7point4;{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'};5029.361948116747;31.619887037062934;83539288.8840751;(0.5264708494528457, 1.444034263101731e-11)
aa_freq+avg_protvec+paac+cetd+helix+turn;{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'};4985.526272298564;31.085019904195807;83539016.4497188;(0.5303915210212388, 9.560547532649284e-12)
aa_freq+avg_protvec+paac+cetd+helix+sheet;{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'};4986.3461703894745;31.15077514895105;83539019.27859282;(0.5300394072481612, 9.923417480839537e-12)
aa_freq+avg_protvec+paac+cetd+helix+gravy;{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'};4897.674148375489;31.102579344755245;83539017.27779013;(0.5392134670371818, 3.7066608647541055e-12)
aa_freq+avg_protvec+paac+cetd+helix+net_charge_at_pH7point4;{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'};5029.36023184402;31.61706885524475;83539286.84191437;(0.5264878555618321, 1.4414700179675433e-11)
aa_freq+avg_protvec+paac+cetd+turn+sheet;{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'};4986.344454116746;31.14795696713287;83539017.23643209;(0.530056783107264, 9.905201965327378e-12)
aa_freq+avg_protvec+paac+cetd+turn+gravy;{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'};4897.674148375489;31.102579344755245;83539017.27779013;(0.5392134670371818, 3.7066608647541055e-12)
aa_freq+avg_protvec+paac+cetd+turn+net_charge_at_pH7point4;{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'};5029.36023184402;31.61706885524475;83539286.84191437;(0.5264878555618321, 1.4414700179675433e-11)
aa_freq+avg_protvec+paac+cetd+sheet+gravy;{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'};4897.674148375489;31.102579344755245;83539017.27779013;(0.5392134670371818, 3.7066608647541055e-12)
aa_freq+avg_protvec+paac+cetd+sheet+net_charge_at_pH7point4;{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'};5029.361948116747;31.619887037062934;83539288.8840751;(0.5264708494528457, 1.444034263101731e-11)
aa_freq+avg_protvec+paac+cetd+gravy+net_charge_at_pH7point4;{'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'distance'};3222.6170178402886;26.67763000136345;68478738.15893936;(0.6371324228181091, 1.1834426505434767e-17)
aa_freq+avg_protvec+paac+net_contact_energy+aromaticity+helix;{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'};4125.001367350943;29.642059764335666;9454910.063553676;(0.5289314375040659, 1.1154430797195486e-11)
aa_freq+avg_protvec+paac+net_contact_energy+aromaticity+turn;{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'};4125.001367350943;29.642059764335666;9454910.063553676;(0.5289314375040659, 1.1154430797195486e-11)
aa_freq+avg_protvec+paac+net_contact_energy+aromaticity+sheet;{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'};4101.28469127402;29.406192631468535;9454858.78809001;(0.5315586731235963, 8.447384127385757e-12)
aa_freq+avg_protvec+paac+net_contact_energy+aromaticity+gravy;{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'};4115.931683453041;29.61178703706294;12478863.941781532;(0.5295736516915079, 1.042395677158621e-11)
aa_freq+avg_protvec+paac+net_contact_energy+aromaticity+net_charge_at_pH7point4;{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'};3951.789505632061;28.94937444965035;5138984.045600172;(0.5383646356671348, 4.0653439742421475e-12)
aa_freq+avg_protvec+paac+net_contact_energy+helix+turn;{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'};4125.001367350943;29.642059764335666;9454910.063553676;(0.5289314375040659, 1.1154430797195486e-11)
aa_freq+avg_protvec+paac+net_contact_energy+helix+sheet;{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'};4587.874047609684;31.180416407692313;9454941.71879843;(0.4937232872631312, 3.711147165988884e-10)
aa_freq+avg_protvec+paac+net_contact_energy+helix+gravy;{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'};4115.931669606886;29.611577246853145;12478863.513638249;(0.5295715787292005, 1.0426238312665626e-11)
aa_freq+avg_protvec+paac+net_contact_energy+helix+net_charge_at_pH7point4;{'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'};3951.789505632061;28.94937444965035;5138984.045600172;(0.5383646356671348, 4.0653439742421475e-12)
